"Date","Price"
2014-01-31,1000
2014-02-01,1038.48358107037
2014-02-02,1038.48358107037
2014-02-03,1038.48358107037
2014-02-04,1004.15808021071
2014-02-05,1004.15808021071
2014-02-06,981.428867563316
2014-02-07,981.428867563316
2014-02-08,981.428867563316
2014-02-09,818.702825299662
2014-02-10,818.702825299662
2014-02-11,861.539587118487
2014-02-12,861.539587118487
2014-02-13,861.539587118487
2014-02-14,712.775427087271
2014-02-15,712.775427087271
2014-02-16,763.806411491422
2014-02-17,763.806411491422
2014-02-18,763.806411491422
2014-02-19,760.331183162823
2014-02-20,760.331183162823
2014-02-21,710.592739821239
2014-02-22,710.592739821239
2014-02-23,710.592739821239
2014-02-24,738.528698069724
2014-02-25,738.528698069724
2014-02-26,692.082576302601
2014-02-27,692.082576302601
2014-02-28,692.082576302601
2014-03-01,663.414991037569
2014-03-02,663.414991037569
2014-03-03,710.678096306503
2014-03-04,710.678096306503
2014-03-05,710.678096306503
2014-03-06,811.435330268629
2014-03-07,811.435330268629
2014-03-08,753.722152446683
2014-03-09,753.722152446683
2014-03-10,765.513541196698
2014-03-11,765.513541196698
2014-03-12,765.513541196698
2014-03-13,779.426648294699
2014-03-14,779.426648294699
2014-03-15,777.402480215586
2014-03-16,777.402480215586
2014-03-17,777.402480215586
2014-03-18,752.34059676377
2014-03-19,752.34059676377
2014-03-20,725.115536099696
2014-03-21,725.115536099696
2014-03-22,725.115536099696
2014-03-23,688.486629516273
2014-03-24,688.486629516273
2014-03-25,710.156202368033
2014-03-26,710.156202368033
2014-03-27,710.156202368033
2014-03-28,625.515492202075
2014-03-29,625.515492202075
2014-03-30,625.515492202075
2014-03-31,543.865917155434
2014-04-01,543.865917155434
2014-04-02,532.813471692131
2014-04-03,532.813471692131
2014-04-04,532.813471692131
2014-04-05,551.301686400273
2014-04-06,551.301686400273
2014-04-07,549.23727883525
2014-04-08,549.23727883525
2014-04-09,549.23727883525
2014-04-10,495.651696764989
2014-04-11,478.929141923447
2014-04-12,516.464046629029
2014-04-13,495.217598068505
2014-04-14,495.217598068505
2014-04-15,556.916923752271
2014-04-16,620.852589349949
2014-04-17,603.669109487983
2014-04-18,586.173468765623
2014-04-19,586.173468765623
2014-04-20,620.181931251448
2014-04-21,608.583204282457
2014-04-22,602.893584850443
2014-04-23,602.893584850443
2014-04-24,599.78660878684
2014-04-25,601.00354839103
2014-04-26,563.051616286017
2014-04-27,555.181748344694
2014-04-28,555.181748344694
2014-04-29,532.380592374008
2014-04-30,538.885975929471
2014-05-01,538.885975929471
2014-05-02,546.185174797888
2014-05-03,538.29579680279
2014-05-04,527.788413466815
2014-05-05,526.144691436306
2014-05-06,526.144691436306
2014-05-07,541.763708861223
2014-05-08,540.447999609799
2014-05-09,550.551768708312
2014-05-10,550.222536550866
2014-05-11,555.23052347913
2014-05-12,538.298235559512
2014-05-13,534.936409418478
2014-05-14,542.418515041032
2014-05-15,545.353558755746
2014-05-16,543.319635649746
2014-05-17,546.17420039264
2014-05-18,545.991293638503
2014-05-19,543.791535075419
2014-05-20,556.896194320135
2014-05-21,597.895352949066
2014-05-22,626.295894353059
2014-05-23,637.970222780426
2014-05-24,637.970222780426
2014-05-25,695.777292736163
2014-05-26,704.808008877074
2014-05-27,704.808008877074
2014-05-28,705.394529868673
2014-05-29,689.569437500762
2014-05-30,740.140716262849
2014-05-31,756.245046275409
2014-06-01,756.245046275409
2014-06-02,774.789352388152
2014-06-03,793.551927227499
2014-06-04,776.223341340584
2014-06-05,803.18379690034
2014-06-06,797.849016571352
2014-06-07,795.916301869307
2014-06-08,801.694935921667
2014-06-09,785.163823482788
2014-06-10,791.445694984697
2014-06-11,768.253118560158
2014-06-12,691.600921850041
2014-06-13,725.143947615506
2014-06-14,695.049689668207
2014-06-15,711.397529539441
2014-06-16,722.506066407345
2014-06-17,740.355692667878
2014-06-18,736.736211879184
2014-06-19,723.564852638125
2014-06-20,719.500298747698
2014-06-21,720.965625724006
2014-06-22,725.574875928252
2014-06-23,714.736553305125
2014-06-24,710.184248070334
2014-06-25,684.646441244254
2014-06-26,706.735480252167
2014-06-27,729.476886683169
2014-06-28,725.373678498701
2014-06-29,729.783682278774
2014-06-30,777.664646563182
2014-07-01,785.200404833616
2014-07-02,790.288261044519
2014-07-03,780.748210562255
2014-07-04,764.707288224463
2014-07-05,765.259056932776
2014-07-06,769.430794181126
2014-07-07,755.398797692936
2014-07-08,756.07250423734
2014-07-09,756.209684302942
2014-07-10,750.073162701655
2014-07-11,769.226548305674
2014-07-12,772.645679337602
2014-07-13,765.11397873323
2014-07-14,753.825831928787
2014-07-15,754.737284932142
2014-07-16,748.878171907961
2014-07-17,759.544684120036
2014-07-18,764.573156604763
2014-07-19,763.545830335695
2014-07-20,756.641100367033
2014-07-21,755.903376458681
2014-07-22,754.802887487959
2014-07-23,753.505712787621
2014-07-24,731.393871404358
2014-07-25,731.74444268312
2014-07-26,724.03638625029
2014-07-27,719.895133460961
2014-07-28,713.676303820312
2014-07-29,709.329219963662
2014-07-30,683.816776207489
2014-07-31,711.119640214111
2014-08-01,724.14677339727
2014-08-02,717.275785781001
2014-08-03,714.03528158702
2014-08-04,715.005287116532
2014-08-05,710.188670469066
2014-08-06,711.293882378763
2014-08-07,716.022825566468
2014-08-08,720.539538617126
2014-08-09,717.125993468492
2014-08-10,717.604753812601
2014-08-11,699.199234230389
2014-08-12,691.878145350902
2014-08-13,662.936385030911
2014-08-14,614.211610920752
2014-08-15,600.281064618309
2014-08-16,635.352583253057
2014-08-17,603.325610603714
