"Date","Price"
2014-02-01,1027.67964767465
2014-02-02,1042.14824684981
2014-02-03,1036.73055315903
2014-02-04,1015.9872920231
2014-02-05,1004.03750993502
2014-02-06,980.331532434242
2014-02-07,927.522057489802
2014-02-08,917.012759628179
2014-02-09,827.186222770817
2014-02-10,828.011182508725
2014-02-11,852.434501679572
2014-02-12,847.669830328285
2014-02-13,848.161627259735
2014-02-14,724.448211450018
2014-02-15,725.109559300172
2014-02-16,769.66380207538
2014-02-17,767.35169693526
2014-02-18,763.737859664176
2014-02-19,760.404414544392
2014-02-20,762.294050320142
2014-02-21,711.41321428741
2014-02-22,696.834577159242
2014-02-23,724.558586747026
2014-02-24,736.673506340263
2014-02-25,693.631638675096
2014-02-26,666.210426656366
2014-02-27,671.07529848905
2014-02-28,684.833406899628
2014-03-01,667.487171208021
2014-03-02,664.111845326327
2014-03-03,689.572400160242
2014-03-04,704.743327845817
2014-03-05,740.971027479455
2014-03-06,791.559373930904
2014-03-07,788.777953164369
2014-03-08,743.058600121189
2014-03-09,740.173197691186
2014-03-10,743.227161974687
2014-03-11,743.052815087656
2014-03-12,736.976421399561
2014-03-13,743.443385121261
2014-03-14,742.314854029688
2014-03-15,740.098007713479
2014-03-16,741.828583891725
2014-03-17,742.745931666353
2014-03-18,736.518808233465
2014-03-19,730.606129885186
2014-03-20,717.095768865496
2014-03-21,695.12013817972
2014-03-22,695.300418622932
2014-03-23,673.042200014877
2014-03-24,656.345396027422
2014-03-25,669.240681021325
2014-03-26,673.481657500442
2014-03-27,669.545532326152
2014-03-28,616.837465286599
2014-03-29,578.504377999735
2014-03-30,572.840248379229
2014-03-31,512.045956595085
2014-04-01,511.364013326801
2014-04-02,505.559788770955
2014-04-03,475.013667874958
2014-04-04,463.773746271136
2014-04-05,480.221675519057
2014-04-06,484.173337823309
2014-04-07,482.77636763285
2014-04-08,482.331285359267
2014-04-09,478.72323736469
2014-04-10,451.949989215039
2014-04-11,415.822289054378
2014-04-12,436.155251461305
2014-04-13,407.651552619491
2014-04-14,417.804903100107
2014-04-15,457.5925042073
2014-04-16,515.050707070326
2014-04-17,488.363243014554
2014-04-18,477.174131549277
2014-04-19,477.847731986131
2014-04-20,503.033515639369
2014-04-21,492.484695067278
2014-04-22,485.909938890192
2014-04-23,484.409749457328
2014-04-24,482.565106130599
2014-04-25,461.785278032275
2014-04-26,440.990314614155
2014-04-27,425.135883532204
2014-04-28,425.184490152919
2014-04-29,417.510896887806
2014-04-30,426.412289635432
2014-05-01,427.056809354841
2014-05-02,430.106568376496
2014-05-03,419.851082314991
2014-05-04,411.421694840351
2014-05-05,411.706920742185
2014-05-06,411.706046518733
2014-05-07,446.09078847338
2014-05-08,444.912939178519
2014-05-09,448.449083311102
2014-05-10,446.730775502296
2014-05-11,445.166642655499
2014-05-12,436.2958482068
2014-05-13,438.347280054682
2014-05-14,461.810261989225
2014-05-15,463.583796400785
2014-05-16,464.750549795268
2014-05-17,463.011311069621
2014-05-18,451.017648504355
2014-05-19,441.434127537978
2014-05-20,449.1318846648
2014-05-21,485.227045773714
2014-05-22,476.333345426794
2014-05-23,442.791328811447
2014-05-24,442.756131676393
2014-05-25,478.223611526562
2014-05-26,484.235904705493
2014-05-27,483.885908855542
2014-05-28,499.10430191353
2014-05-29,488.20127078094
2014-05-30,511.256988472433
2014-05-31,508.657945081382
2014-06-01,512.722521464331
2014-06-02,522.204729198163
2014-06-03,534.312954401929
2014-06-04,520.642914026295
2014-06-05,530.73648622411
2014-06-06,526.162386519697
2014-06-07,522.801692796026
2014-06-08,526.787943709271
2014-06-09,527.855969238222
2014-06-10,539.879837022397
2014-06-11,522.112135587693
2014-06-12,468.307784509978
2014-06-13,488.228225360083
2014-06-14,472.84895852867
2014-06-15,481.497119650658
2014-06-16,487.404870480962
2014-06-17,494.384732270178
2014-06-18,493.46222916159
2014-06-19,483.211170123407
2014-06-20,480.101407436919
2014-06-21,481.569887122291
2014-06-22,483.014907070126
2014-06-23,476.189519893062
2014-06-24,472.777758658064
2014-06-25,453.364596735674
2014-06-26,466.32346265514
2014-06-27,474.961605018895
2014-06-28,469.790542406821
2014-06-29,471.673765641034
2014-06-30,486.414605770207
2014-07-01,480.462299038237
2014-07-02,477.591411627023
2014-07-03,476.450472218198
2014-07-04,458.553250766275
2014-07-05,455.896758055796
2014-07-06,454.864044265749
2014-07-07,453.302712305592
2014-07-08,457.326653829514
2014-07-09,457.534076477508
2014-07-10,452.860560307002
2014-07-11,461.5431786356
2014-07-12,472.79779760658
2014-07-13,471.820383696852
2014-07-14,463.011634764696
2014-07-15,462.701800622659
2014-07-16,455.656043892438
2014-07-17,468.750302701171
2014-07-18,478.8395274709
2014-07-19,474.204387586395
2014-07-20,470.056725600912
2014-07-21,469.105014976025
2014-07-22,466.531452007184
2014-07-23,464.639447695924
2014-07-24,444.152280930119
2014-07-25,445.326826658317
2014-07-26,437.707482770826
2014-07-27,437.541724869923
2014-07-28,431.920665141978
2014-07-29,429.970401909992
2014-07-30,409.719281703005
2014-07-31,429.452300849271
2014-08-01,436.172912285936
2014-08-02,433.487490432589
2014-08-03,430.061687301833
2014-08-04,424.070902281961
2014-08-05,418.128798710807
2014-08-06,418.445010463073
2014-08-07,418.993808558651
2014-08-08,418.278020581656
2014-08-09,410.885561981186
2014-08-10,406.965107848244
2014-08-11,385.109383209914
2014-08-12,375.509392097227
2014-08-13,355.483713823063
2014-08-14,339.082267712128
2014-08-15,334.229871421744
2014-08-16,340.34071768388
2014-08-17,319.001997684548
2014-08-18,289.938923270773
